item_id,item_name,total_quantity_ordered,order_lines_count
,Oreo Mcflurry,6,6
,Paneer Cutlets,6,6
,Paneer Pakora,6,6
,Peri Peri Burger,6,6
,Plain Rice,6,6
,Prawn Biryani,6,6
,Saag,6,6
,Saffron Chai,6,6
,Shrikhand,6,6
,Som Tam,6,6
,Strawberry Smoothie,6,6
,Tandoori Momos,6,6
,Tandoori Murgh Masala,6,6
,Tender Coconut Payasam,6,6
,Thai Chicken,6,6
,Thai Wings,6,6
,Tiramisu Martini,6,6
,Wild Mushroom Risotto,6,6
,Aloo Pyaz Paratha,6,2
,Baked Bread,6,2
,Coffee Shake,6,2
,Grilled Steak,6,2
,Almond Crunch,5,5
,Alur Dom,5,5
,Bbq Pizza,5,5
,Beef Nachos,5,5
,Benne Masala Dosa,5,5
,Big Breakfast,5,5
,Bingsu,5,5
,Blueberry Cake,5,5
,Brownie Sundae,5,5
,Bun Omelette,5,5
,Calzone,5,5
,Chapa Pulusu,5,5
,Cheese Vada Pav,5,5
,Cheesy Chicken Wrap,5,5
,Chicken Baguette,5,5
,Chicken Doner,5,5
,Chicken Dry Fry,5,5
,Chicken Keema Burger,5,5
,Chicken Manchurian Roll,5,5
,Chicken Pasta,5,5
,Chilli Paneer Pizza,5,5
,Choco Almond,5,5
,Chocolate Wonton,5,5
,Club Sandwich,5,5
,Coconut Chicken,5,5
,Cream Soup,5,5
,Crispy Chilli Chicken,5,5
,Crispy Veg Burger,5,5
,Custard Apple,5,5
,Devils Chicken,5,5
,Donne Chicken Biryani,5,5
,Dum Aloo Kashmiri,5,5
,Egg Custard,5,5
,Egg Tadka,5,5
,Espresso Martini,5,5
,Fig Ice Cream,5,5
,Fish N Chips,5,5
,French Onion Soup,5,5
,Gatte Ki Subzi,5,5
,Gnocchi,5,5
,Goan Thali,5,5
,Gongura Chicken Biryani,5,5
,Gujarati Food,5,5
,Jhol Momos,5,5
,Jumbo Royale Burger,5,5
,Kallappam,5,5
,Kesar Pista Kulfi,5,5
,Laksa,5,5
,Mai Thai,5,5
,Malai Ghewar,5,5
,Malaysian Noodles,5,5
,Mango Cheesecake,5,5
,Mud Crab Ravioli,5,5
,Mushroom Ghee Roast,5,5
,Mushroom Pasta,5,5
,Mushroom Pizza,5,5
,Mushroom Ramen,5,5
,Mutton Pepper,5,5
,Mutton Seekh Kebab,5,5
,Mysore Masala Dosa,5,5
,Oreo Milkshake,5,5
,Palak Chaat,5,5
,Palak Rice,5,5
,Pane Pizza,5,5
,Paneer Methi Malai,5,5
,Paper Plain Dosa,5,5
,Pork Burger,5,5
,Potato Krisper,5,5
,Potato Skins,5,5
,Reshmi Kebab,5,5
,Rice Pudding,5,5
,Risotto,5,5
,Scrambled Eggs,5,5
,Shahi Biryani,5,5
,Shammi Kebab Roll,5,5
,Smoothie Bowl,5,5
,Snicker Shake,5,5
,Spicy Crab Soup,5,5
,Spicy Paneer,5,5
,Spinach Pizza,5,5
,Sponge Cake,5,5
,Sprout Salad,5,5
,Stir Fried Noodles,5,5
,Tabakh Maaz,5,5
,Tender Coconut Chicken,5,5
,Truffle,5,5
,Udon Noodle,5,5
,Ulvacharu Biryani,5,5
,Vietnamese Pho,5,5
,Whole Meat Shawarma,5,5
,Brewed Coffee,5,2
,Chole Kulcha,5,2
,Makkai Roti,5,2
,Salmon Steak,5,2
,Achari Paneer,4,4
,Banana Nutella,4,4
,Barbeque Chicken Pizza,4,4
,Basil Pesto,4,4
,Beef Shwarma,4,4
,Belgian Chocolate Waffle,4,4
,Big Bang Shake,4,4
,Biryani Box,4,4
,Blueberry Muffin,4,4
,Brownie Milkshake,4,4
,Butter Garlic Momos,4,4
,Cheese Pasta,4,4
,Cheesy Chicken Burger,4,4
,Cheesy Maxx Pizza,4,4
,Chicken,4,4
,Chicken Beda,4,4
,Chicken Drumstick,4,4
,Chicken Handi,4,4
,Chicken Honey,4,4
,Chicken Keema,4,4
,Chilli Potatoes,4,4
,Chinese Chop Suey,4,4
,Chocochip Cake,4,4
,Chocolate Bar,4,4
,Chocolate Ganache,4,4
,Cut Fruits,4,4
,Daal Baati Churma,4,4
,Dahi Bhalle,4,4
,Death By Chocolate,4,4
,Deluxe Punjabi Thali,4,4
,Egg Ghee Roast,4,4
,Egg Maggi,4,4
,Egg Pakora,4,4
,Egg Salad,4,4
,Egg Sandwich,4,4
,Elaneer Payasam,4,4
,Falafel Plate,4,4
,Farm Pizza,4,4
,Fiery Potato,4,4
,Firewood Biryani,4,4
,Fruit Bowl,4,4
,Fruit Custard,4,4
,Gelato Ice Cream,4,4
,Ghee Roast Paneer,4,4
,Gobi Tikka,4,4
,Greek Salad,4,4
,Gujarati Thali,4,4
,Hariyali Chicken,4,4
,Hazelnut Ice Cream,4,4
,Hummus Falafel,4,4
,Indian Sweets,4,4
,Kadhai Murgh,4,4
,Keema Roll,4,4
,Korean Ice Cream,4,4
,Kozhi Biryani,4,4
,Lahori Chicken,4,4
,Litchi Cake,4,4
,Maki Roll,4,4
,Malgoum Shawarma,4,4
,Mapo Tofu,4,4
,Masala Corn,4,4
,Mayo Sandwich,4,4
,Mint Masala,4,4
,Mint Raita,4,4
,Mochi Ice Cream,4,4
,Mousse Cup,4,4
,Mozzarella Sticks,4,4
,Mumbai Sandwich,4,4
,Mushroom Bruschettas,4,4
,Mushroom Nuggets,4,4
,Mushroom Quiche,4,4
,Mushroom Roll,4,4
,Mutton Pasanda,4,4
,Mutton Stew,4,4
,Mutton Thali,4,4
,Oreo Waffle,4,4
,Paan Shake,4,4
,Palak Chicken,4,4
,Paneer Burger,4,4
,Paneer Tikki,4,4
,Panna Cotta,4,4
,Paper Masala Dosa,4,4
,Pasta Salad,4,4
,Peanut Butter Smoothie,4,4
,Peppy Paneer Pizza,4,4
,Peri Peri Prawn,4,4
,Peri Peri Sizzler,4,4
,Petha,4,4
,Pinacolada,4,4
,Pineapple Passion,4,4
,Potato Cheese Ball,4,4
,Potato Wrap,4,4
,Prawn Gassi,4,4
,Ramen,4,4
,Red Velvet,4,4
,Red Velvet Brownie,4,4
,Roasted Almonds,4,4
,Saffron Pilaf,4,4
,Sarso Da Saag,4,4
,Seekh Roll,4,4
,Squid Fry,4,4
,Strawberry Sundae,4,4
,Sunday Brunches,4,4
,Tender Coconut Pudding,4,4
,Veg Ball Manchurian,4,4
,Veg Bonanza Pizza,4,4
,Veg Fried Rice,4,4
,Veg Pulao,4,4
,Watermelon Mojito,4,4
,Coffee Walnut,4,1
,Iced Coffee,4,1
,Keema Roti,4,1
,Mutton Baida Roti,4,1
,Wheat Paratha,4,1
,Zaraja Paratha,4,1
,Afghani Biryani,3,3
,Alpham Chicken,3,3
,Americano,3,3
,Anjal Masala Fry,3,3
,Bamboo Chicken Biryani,3,3
,Banana Split,3,3
,Banana Waffles,3,3
,Bhuna Chicken,3,3
,Brownie Fudge Sundae,3,3
,Bruschetta Bites,3,3
,Butter Cookies,3,3
,Butter Garlic Prawns,3,3
,Butter Paneer,3,3
,Chaat Platter,3,3
,Cheesecake Ice Cream,3,3
,Cheesy Juicy Burger,3,3
,Chicken Breast Burger,3,3
,Chicken Calzone,3,3
,Chicken Gyoza,3,3
,Chicken Keema Roll,3,3
,Chicken Paprika,3,3
,Chicken Thali,3,3
,Chicken Tikka Sandwich,3,3
,Chicken Whopper Burger,3,3
,Chilli Prawns,3,3
,Chocolate Cheese,3,3
,Chocolate Cupcake,3,3
,Chocolate Donut,3,3
,Chocolate Hazelnut,3,3
,Chocolate Overload,3,3
,Coconut Mousse,3,3
,Coconut Payassam,3,3
,Cookie Crunch,3,3
,Coriander Soup,3,3
,Crab Fry,3,3
,Crab Masala,3,3
,Cream Cake,3,3
,Date Pancakes,3,3
,Dindigul Biryani,3,3
,Dragon Noodles,3,3
,Egg Dosa,3,3
,Egg Fried Rice,3,3
,Egg Masala,3,3
,Egg Pepper Fry,3,3
,Falafel Burger,3,3
,Fattoush,3,3
,Fish Tikka,3,3
,Freak Shake,3,3
,Ghee Masala Dosa,3,3
,Gongura Biryani,3,3
,Gooey Brownie,3,3
,Hazelnut Mousse Flan,3,3
,Hummus Platter,3,3
,Jalapeno Poppers,3,3
,Kamikaze,3,3
,Kebab Manchurian,3,3
,Khau Suey,3,3
,Kitkat Waffles,3,3
,Kokum Sharbat,3,3
,Lemon Mojito,3,3
,Lemon Tarts,3,3
,Malacca Curry,3,3
,Manchurian Roll,3,3
,Manchurian Samosa,3,3
,Masala Chaach,3,3
,Masala Pav,3,3
,Mc Flurry,3,3
,Mezze Platter,3,3
,Milky Way,3,3
,Mixed Fried Rice,3,3
,Momos Burger,3,3
,Multani Paneer Tikka,3,3
,Muradabadi Biryani,3,3
,Murgh Kalimirch,3,3
,Murgh Platter,3,3
,Nalli Nihari,3,3
,Nati Biryani,3,3
,Onion Pakoda,3,3
,Pahari Chicken,3,3
,Paneer Bhurji Roll,3,3
,Paneer Malai Tikka,3,3
,Paya,3,3
,Penne Arrabiata Pasta,3,3
,Peppy Paneer,3,3
,Peri Peri Drizzle,3,3
,Pesarattu,3,3
,Poori Bhaji,3,3
,Potato Curry,3,3
,Rajdhani Thali,3,3
,Red Snapper,3,3
,Red Velvet Ice Cream,3,3
,Rice Noodles,3,3
,Roast Beef Sandwich,3,3
,Sabudana Kheer,3,3
,Saffron Rice,3,3
,Sikandari Raan,3,3
,Singapore Noodles,3,3
,Sitaphal Ice Cream,3,3
,Smokey Marzano Pizza,3,3
,Subz-e-royal Pot Rice,3,3
,Sushi Platter,3,3
,Sweet Potato Fries,3,3
,Sweet Potato Latte,3,3
,Taco Soup,3,3
,Tamatar Ka Shorba,3,3
,Tempura Prawns,3,3
,Thai Red Curry,3,3
,Thai Rice,3,3
,Tikki,3,3
,Tomato Ragout,3,3
,Veg Supreme Pizza,3,3
,Vellarikka Pattanam,3,3
,Virgin Pinacolada,3,3
,Chura Paratha,3,1
,Rose Tea,3,1
,Steamed Rice,3,1
,Watermelon Juice,3,1
,Abbabi Chicken,2,2
,Aloo Curry,2,2
,Aloo Tikki,2,2
,Aloo Tikki Chat,2,2
,Angara Kebab,2,2
,Anjal Tava Fry,2,2
,Apple Pie Ice Cream,2,2
,Arabic Cuisine,2,2
,Avocado Toast,2,2
,Bacon Pizza,2,2
,Badami Kheer,2,2
,Bbq Pork,2,2
,Bharwan Mushroom,2,2
,Bhuna Gosht,2,2
,Blackberry Cheesecake,2,2
,Bombay Bhel,2,2
,Breakfast Platter,2,2
,Brewed Beer,2,2
,Brownie Waffle,2,2
,Bubble Gum Shake,2,2
,Butter Chicken Pizza,2,2
,Caramel Ganache,2,2
,Chaai,2,2
,Cheese Burst Pizza,2,2
,Cheese Sandwiches,2,2
,Cheesiano Pizza,2,2
,Cheesy Chicken,2,2
,Cheesy Chicken Fries,2,2
,Chhole Bhature,2,2
,Chicken Bharta,2,2
,Chicken Kasha,2,2
,Chicken Lazeez,2,2
,Chicken Malai Roll,2,2
,Chicken Meal,2,2
,Chicken Penne,2,2
,Chicken Pepper Dry,2,2
,Chicken Popcorn,2,2
,Chicken Pot Pie,2,2
,Chicken Quiche,2,2
,Chicken Seekh Roll,2,2
,Chicken Sholey Kebab,2,2
,Chicken Shorba,2,2
,Chicken Snacker,2,2
,Chicken Tikka Wrap,2,2
,Chicken Whopper,2,2
,Chicken Wonton Soup,2,2
,Chilli Babycorn,2,2
,Chilli Garlic Noodles,2,2
,Choco Bomb,2,2
,Chocolate Almond,2,2
,Chocolate Fondue,2,2
,Chocolate Popcorn,2,2
,Choux Pastry,2,2
,Corn Balls,2,2
,Crab Sushi,2,2
,Cream Mango,2,2
,Creme Caramel,2,2
,Crispy Babycorn,2,2
,Crispy Honey Chilli Chicken,2,2
,Crispy Prawns,2,2
,Crunchy Waffles,2,2
,Dahi Ke Kabab,2,2
,Dhokar Dalna,2,2
,Doi Murgi,2,2
,Double Ka Meetha,2,2
,Egg Wrap,2,2
,Executive Chicken Biryani,2,2
,Filter Kaapi,2,2
,Fish Chilli,2,2
,Fried Noodles,2,2
,Fruit Cake,2,2
,Fry Momos,2,2
,Ganna Chicken,2,2
,Garlic Chicken,2,2
,Ginger Pork,2,2
,Golden Fried Prawns,2,2
,Gong Bao Chicken,2,2
,Gooey Chocolate Cake,2,2
,Greek Sandwich,2,2
,Hazelnut Cake,2,2
,Hyderabadi Mutton Biryani,2,2
,Hyderabadi Style Biryani,2,2
,Idli Chutney,2,2
,Italian Fries,2,2
,Kaju Katli,2,2
,Kanda Poha,2,2
,Kastoori Chicken,2,2
,Keema Biryani,2,2
,Keema Pav,2,2
,Laksa Soup,2,2
,Lemon Chicken Roll,2,2
,Lemongrass Chicken,2,2
,Liege Waffle,2,2
,Lobster Dumplings,2,2
,Madagascar Chocolate,2,2
,Maddur Vada,2,2
,Maki Sushi,2,2
,Malabar Fish Curry,2,2
,Malai Broccoli,2,2
,Malai Roll,2,2
,Marwai Sukka,2,2
,Matka Kulfi,2,2
,Mocha Waffle,2,2
,Monster Burger,2,2
,Mushroom Momo,2,2
,Mutton Keema,2,2
,Mutton Keema Balls,2,2
,Mutton Pepper Fry,2,2
,Mutton Raan Biriyani,2,2
,Mutton Sukha,2,2
,Nasi Goreng,2,2
,Nepali Thali,2,2
,Nihari,2,2
,Nutella Cookie,2,2
,Nutella Ice Cream,2,2
,Onion Rava Masala Dosa,2,2
,Palak Dosa,2,2
,Pandi Curry,2,2
,Paneer Chatpata,2,2
,Paneer Dosa,2,2
,Paneer Pasanda,2,2
,Paneer Sandwich,2,2
,Peach Parfait,2,2
,Peri Peri Paneer Pizza,2,2
,Pizza Waffles,2,2
,Podi Dosa,2,2
,Podi Idli,2,2
,Pool Table,2,2
,Pork Curry,2,2
,Pork Sausage,2,2
,Pork Thali,2,2
,Potato Masala,2,2
,Potato Twister,2,2
,Pumpkin Soup,2,2
,Quinoa Salad,2,2
,Rawas Fry,2,2
,Red Velvet Waffle,2,2
,Ricotta Ravioli,2,2
,Roasted Chilli,2,2
,Sabudana Khichdi,2,2
,Salmon Sushi,2,2
,Samosa Chaat,2,2
,Savoury Crepe,2,2
,Shaadi Ki Biryani,2,2
,Shakshouka,2,2
,Sooji Halwa,2,2
,Souvlaki,2,2
,Spinach Corn Sandwich,2,2
,Spinach Curry,2,2
,Spring Dosa,2,2
,Sulemani Chai,2,2
,Supreme Mutton Biryani,2,2
,Tamarind Chicken,2,2
,Thai Chicken Salad,2,2
,Thai Crispy Chicken,2,2
,Thai Salad,2,2
,Tomato Shorba,2,2
,Triple Schezwan,2,2
,Ulavacharu,2,2
,Veg Cutlet,2,2
,Veg Manchow Soup,2,2
,Veg Paprika,2,2
,Veg Pattice,2,2
,Vegetable Dimsums,2,2
,Vegetable Noodles,2,2
,Whopper Meal,2,2
,Green Tea,2,1
,Jowar Roti,2,1
,Onion Paratha,2,1
,Steak Burger,2,1
,Afghani Momos,1,1
,Aloo Jeera,1,1
,Aloo Tikka Roll,1,1
,Andhra Chicken Curry,1,1
,Anjal Fry,1,1
,Apple Cake,1,1
,Apple Fritters,1,1
,Avocado Sandwich,1,1
,Baked Beans,1,1
,Bamboo Biryani,1,1
,Banana Caramel,1,1
,Barfi,1,1
,Basil Smoothie,1,1
,Basil Soup,1,1
,Bbq Platter,1,1
,Bbq Sandwich,1,1
,Beef Biryani,1,1
,Beef Momos,1,1
,Beetroot Burger,1,1
,Belgian Dark Chocolate,1,1
,Belgium Waffles,1,1
,Benne Khali Dosa,1,1
,Bhindi Fry,1,1
,Bibimbap,1,1
,Blueberry Cheese Cake,1,1
,Blueberry Waffles,1,1
,Bonda Soup,1,1
,Boneless Biryani,1,1
,Brinjal Fry,1,1
,Bubble Gum Ice Cream,1,1
,Burst Pizza,1,1
,Butter Chicken Biryani,1,1
,Butter Chicken Burger,1,1
,Butter Phulkas,1,1
,Butterfly Chicken,1,1
,Butterscotch Cake,1,1
,Cabbage Salad,1,1
,Cannelloni,1,1
,Cantonese Noodles,1,1
,Caramel Cheesecake,1,1
,Caramel Chocolate,1,1
,Caramel Eclair,1,1
,Caramel Milkshake,1,1
,Carrot Halwa,1,1
,Charcoal Chicken,1,1
,Charcoal Shawarma,1,1
,Cheddar Cheese Balls,1,1
,Cheese Cutlet,1,1
,Cheese Fatayer,1,1
,Cheese Masala Dosa,1,1
,Cheese Omelette,1,1
,Cheesy Grilled Sandwich,1,1
,Chef Special 1,1,1
,Chef Special 3,1,1
,Chef Special 5,1,1
,Chelo Kebab,1,1
,Chettinad Pizza,1,1
,Chicken Bruschetta,1,1
,Chicken Ceaser Salad,1,1
,Chicken Chips,1,1
,Chicken Chukka,1,1
,Chicken Fingers,1,1
,Chicken Hakka Noodles,1,1
,Chicken Jumbo Burger,1,1
,Chicken Khao Suey,1,1
,Chicken Litti,1,1
,Chicken Malhooth,1,1
,Chicken Pepper Fry,1,1
,Chicken Reshmi Tikka Roll,1,1
,Chicken Samosa,1,1
,Chicken Shashlik,1,1
,Chicken Shwarma Roll,1,1
,Chicken Tandoori Grill Burger,1,1
,Chicken Vepudu,1,1
,Chilli Mushroom,1,1
,Choco Chip Cookies,1,1
,Chocolate Banana,1,1
,Chocolate Chocochip,1,1
,Chocolate Mudpie,1,1
,Chocolate Samosa,1,1
,Coconut Ice Cream,1,1
,Coke Float,1,1
,Cookie Monster Shake,1,1
,Coriander Chicken,1,1
,Crab Cake,1,1
,Crab Toast,1,1
,Crispy Chilli Babycorn,1,1
,Crispy Lotus Stem,1,1
,Crispy Noodle,1,1
,Crispy Pork,1,1
,Diced Chicken,1,1
,Dimsum Platter,1,1
,Diwani Handi,1,1
,Double Chocolate Cake,1,1
,Dragon Prawn,1,1
,Drunken Chicken Wings,1,1
,Farmhouse Pizza,1,1
,Farsan,1,1
,Fattoush Salad,1,1
,Frappuccino,1,1
,Fruit Beer,1,1
,Fruit Ice Cream,1,1
,Fruit Pancake,1,1
,Fruit Tart,1,1
,Garlic Fries,1,1
,Garlic Maggi,1,1
,Ghee Roast Dosa,1,1
,Gobhi Matar,1,1
,Grilled Burger,1,1
,Grilled Wings,1,1
,Hash Brown,1,1
,Hazelnut Frappe,1,1
,Hazelnut Latte,1,1
,Honey Cake,1,1
,Hot Badam Milk,1,1
,Hyderabadi Chicken,1,1
,Ice Cream Pizza,1,1
,Juicy Lamb Burger,1,1
,Jumbo Chicken,1,1
,Kanda Bhajiya,1,1
,Kappa Biryani,1,1
,Karara Paneer,1,1
,Karela Salad,1,1
,Katsu Curry,1,1
,Keema Samosa,1,1
,Kodi Vepudu,1,1
,Kothu Parotta,1,1
,Kuluki Sarbat,1,1
,Kung Pao Vegetables,1,1
,Ladoo,1,1
,Legendary Arsalan,1,1
,Lime Mojito,1,1
,Lobster Risotto,1,1
,Lollipop Biryani,1,1
,Mango Waffles,1,1
,Masala Tikka,1,1
,Masala Veg Frankie,1,1
,Mascarpone Cheese,1,1
,Mcmuffin,1,1
,Mcspicy Chicken Burger,1,1
,Mediterranean Platter,1,1
,Meetha Paan,1,1
,Melted Chocolate,1,1
,Mexican Rice,1,1
,Mint Mojito,1,1
,Misal,1,1
,Momo Burger,1,1
,Momo Platter,1,1
,Monster Pizza,1,1
,Moong Dal Halwa,1,1
,Murgh Angara,1,1
,Murgh Khurchan,1,1
,Mutton Burger,1,1
,Mutton Handi,1,1
,Mutton Kalmi,1,1
,Mutton Kebab,1,1
,Mutton Masala,1,1
,Mutton Pulao,1,1
,Mutton Seekh Roll,1,1
,Nawabi Pizza,1,1
,Octopus Takoyaki,1,1
,Open Masala Dosa,1,1
,Oreo Pancake,1,1
,Oysters,1,1
,Pallipalayam Chicken,1,1
,Pan Fried Noodles,1,1
,Pan Shot Ice Cream,1,1
,Paneer Curry,1,1
,Paneer Fried Rice,1,1
,Paneer Hyderabadi,1,1
,Paneer Lajawab,1,1
,Paneer Makhanwala,1,1
,Paneer Pockets,1,1
,Paneer Sizzler,1,1
,Pasta Sizzler,1,1
,Patisserie Nitash,1,1
,Pav Bhaji Fondue,1,1
,Peking Duck,1,1
,Pepper Prawns,1,1
,Pepperoni,1,1
,Pink Sauce Pasta,1,1
,Poha Jalebi,1,1
,Pomegranate Sorbet,1,1
,Poricha Kozhi,1,1
,Pork Bibimbap,1,1
,Pork Bulgogi,1,1
,Pork Vindaloo,1,1
,Potato Momos,1,1
,Potato Pops,1,1
,Prawn Dumplings,1,1
,Puran Poli,1,1
,Puri Saagu,1,1
,Raan,1,1
,Rabri Malpua,1,1
,Red Wine Sangria,1,1
,Rendang Curry,1,1
,Roast Chicken Sub,1,1
,Rumali Shawarma,1,1
,Sashimi,1,1
,Schezwan Fried Rice,1,1
,Schezwan Vada Pav,1,1
,Sesame Chicken,1,1
,Shanghai Chicken,1,1
,Shephards Pie,1,1
,Shrimp Soup,1,1
,Smoked Tomato Soup,1,1
,Smoothie Chocolate,1,1
,Soya Buttermilk,1,1
,Soya Chaap Biryani,1,1
,Spicy Chicken Bangkok Bowl,1,1
,Spicy Fries,1,1
,Spinach Pasta,1,1
,Squid Ghee Roast,1,1
,Squid Rings,1,1
,Strawberry Cake,1,1
,Strawberry Cheesecake,1,1
,Stuffed Pomfret,1,1
,Supreme Chicken Biryani,1,1
,Sweet Crepe,1,1
,Sweet Paan,1,1
,Sweet Potato Cake,1,1
,Tabbouleh,1,1
,Taco Joint,1,1
,Tamda Rassa,1,1
,Thatte Idli,1,1
,Thread Chicken,1,1
,Tiramisu Ice Cream,1,1
,Tokri Chaat,1,1
,Tomato Masala,1,1
,Triple Sundae,1,1
,Veg Cheese Sandwich,1,1
,Veg Sizzler,1,1
,Veg Supreme,1,1
,Veg Thupka,1,1
,Veg Whopper,1,1
,Vegetable Kebab Platter,1,1
,Walnut Brownie,1,1
,Watermelon Feta Salad,1,1
,Watermelon Ice Cream,1,1
,Wheat Shawarma,1,1
,Whole Wheat Pita,1,1
,Wine Sauteed Mushrooms,1,1
