candidate_id,years_experience,current_title,skills,education_level,university,previous_companies,certifications,english_proficiency,expected_salary,candidate_location,willing_to_relocate,profile_completeness,account_created_date
1733,6.0,Engineering Manager,Terraform|Azure|MongoDB|Django|Vue|Linux|Kubernetes,PhD,,Digikala|Netflix|Generic Tech Co 16|Generic Tech Co 65,,C2,82409.89264636122,Madrid,No,75,2023-09-05
1734,4.0,Junior Frontend Developer,TensorFlow|Agile|Kafka|Tableau|PyTorch|Redis|LightGBM|NumPy|Testing,Bachelor,Generic State University 72,,PMP,,112326.81236199474,Dubai,,77,2022-08-30
1735,5.0,Frontend Developer,Python|Next.js|Docker|Testing|AWS,Bachelor,University of Oxford,Generic Tech Co 2|Generic Tech Co 20|Generic Tech Co 93|Generic Tech Co 33|Generic Tech Co 65|Generic Tech Co 44,Azure-AZ900|CISSP|AWS-DevOps,B2,105759.24133513334,Hamburg,Yes,99,2020-11-23
1736,19.0,Junior DevOps Engineer,Vue|Tailwind|Terraform|PyTorch,High School,Generic State University 72,Generic Tech Co 65,GCP-PCA|Agile-Certified|Azure-AZ305,C2,219872.2503652976,Tehran,Yes,100,2022-05-14
1737,5.0,Engineering Manager,Redux|React|Scrum|Webpack|Svelte|Spring|TypeScript,Master,University College London,Generic Tech Co 47|Generic Tech Co 10|Generic Tech Co 22|Generic Tech Co 56|Generic Tech Co 13,HIPAA|AWS-SAP,B1,115792.86171195844,Shiraz,No,100,2020-11-27
1738,6.0,Backend Developer,R|GraphQL|RabbitMQ|YAML|dbt|Nginx|SQL|HTML,Master,Online University M,,Kubernetes-CKAD|Kubernetes-CKA|HIPAA,B2,101305.74229613061,Munich,No,87,2022-04-13
1739,5.0,CTO,Agile|Kafka|Airflow|SASS|HTML,Bachelor,Generic State University 64,Generic Tech Co 85,Kubernetes-CKAD,B1,89240.81707693847,Munich,No,98,2023-06-15
1740,4.0,Data Scientist,REST API|Terraform|C#|Next.js|MongoDB|Express|Vue|LightGBM|SQL,Master,Generic State University 47,Generic Tech Co 54,Azure-AZ305,B2,103641.01794318325,London,No,100,2020-05-27
1741,2.0,Junior ML Engineer,JavaScript|Python|Airflow|Tailwind|dbt|SASS|Redis|MySQL|Linux,Bachelor,Generic State University 10,Stripe|Snapp|Generic Tech Co 33|Generic Tech Co 98,Azure-AZ305|Agile-Certified|Kubernetes-CKAD|PMP,A1,70479.46774273952,Qom,No,99,2022-08-15
1742,1.0,Junior Web Developer,GraphQL|Node.js|Flask|Docker|Java|Vue,Bachelor,Generic State University 58,Generic Tech Co 35|Generic Tech Co 87|Generic Tech Co 84|Meta|Generic Tech Co 71|Generic Tech Co 59,,A2,69417.11968979126,Shiraz,No,89,2023-04-20
1743,,Junior Frontend Developer,Terraform|Kafka|Webpack|Svelte|Java|Pandas|MySQL|Scikit-learn|NumPy|Linux|PySpark,Bachelor,,Generic Tech Co 41|Generic Tech Co 28|Generic Tech Co 74|Generic Tech Co 98|Generic Tech Co 82,,B1,96478.67822460202,Qom,Yes,60,2020-05-11
1744,12.0,Junior Software Engineer,Tailwind|MongoDB|Flask|XGBoost|Pandas|Spark|Spring|Nginx|SQL,Master,Generic State University 94,Generic Tech Co 99|Snapp|Generic Tech Co 55|Generic Tech Co 71|Generic Tech Co 69|Generic Tech Co 37,,C1,137540.64519451675,Tokyo,No,88,2020-04-26
1745,3.0,DevOps Engineer,React|TensorFlow|Agile|RabbitMQ|Communication|Pandas|SQL,Bachelor,,Uber|Generic Tech Co 50,Kubernetes-CKAD|CEH|GCP-ACE|Scrum-Master,A2,55896.94484187578,Munich,Yes,85,2022-05-15
1746,1.0,Junior Full Stack Developer,Python|JavaScript|CICD|C#|Airflow|Power BI|Docker|CSS|SASS|Pandas|Communication|HTML,Bachelor,Generic State University 56,Generic Tech Co 18|Generic Tech Co 77,Agile-Certified|Kubernetes-CKA|AWS-CSA,C1,54150.73997405783,Hamburg,No,100,2020-01-08
1747,5.0,Tech Lead,JavaScript|Express|Airflow|Next.js,PhD,Generic State University 48,Generic Tech Co 46|Digikala|Netflix|Amazon,Kubernetes-CKAD|AWS-DOP,B2,93665.7021729472,Karaj,Yes,100,2023-02-07
1748,,Junior DevOps Engineer ,CICD|Pandas|Redis|R|HTML,Bachelor,,Generic Tech Co 23|Generic Tech Co 57|Generic Tech Co 10|Generic Tech Co 55|Generic Tech Co 79|Generic Tech Co 5,,A1,82768.57983153785,Tokyo,No,62,2020-10-04
1749,6.0,Junior Backend Developer,Python|PyTorch|Jenkins|PostgreSQL|MySQL|Go|YAML|HTML,Bachelor,Generic State University 32,Generic Tech Co 31,,C1,103829.06569630456,ISFAHAN,,88,2022-12-20
1750,,Junior Backend Developer,TensorFlow|PyTorch|GraphQL|RabbitMQ|Svelte|Go|PySpark,Master,Generic State University 19,Generic Tech Co 61|Generic Tech Co 10|Generic Tech Co 90|Generic Tech Co 4|Generic Tech Co 83,AWS-DOP|Scrum-Master,B1,83098.7893543896,Karaj,Yes,92,2022-09-13
1751,2.0,Head of Data,PyTorch|Svelte|XGBoost|Communication|Spark|Testing,High School,,Generic Tech Co 99|Meta|Generic Tech Co 71,,C1,77227.36511692824,Seattle,No,72,2023-03-06
1752,9.0,Junior ML Engineer,Git|Python|Tableau|Webpack|dbt|Spark|Vue|Nginx|Linux,Master,Generic State University 16,Generic Tech Co 62,,A2,133316.3667235438,Remote,No,87,2023-08-07
1753,4.0,Solutions Architect (Senior),REST API|Kafka|CICD|Tableau|Next.js|GCP|Pandas|Go|LightGBM,Bachelor,Generic State University 52,Generic Tech Co 19|Generic Tech Co 4|Generic Tech Co 91|Generic Tech Co 89,,,50835.32827479007,Berlin,Yes,80,2020-01-01
1754,1.0,Junior Frontend Developer,Azure|Tailwind|Airflow|GraphQL|Svelte|PySpark,Bachelor,Online University U,Generic Tech Co 86|Microsoft|Generic Tech Co 65|Generic Tech Co 4|Generic Tech Co 5|Generic Tech Co 49,,C1,58707.5455056526,Berlin,Yes,95,2023-01-14
1755,4.0,Solutions Architect ,CICD|Power BI|GCP|Ansible|Communication|Pandas|Django|GitLab-CI|NumPy|R|HTML,Bachelor,Generic State University 100,,,B2,65196.337061468264,Isfahan,Yes,77,2023-05-27
1756,9.0,CTO,React|REST API|Terraform|Azure|Docker|Angular|Scikit-learn|LightGBM|Nginx|Linux|Kubernetes,Bachelor,Generic State University 95,,,C2,144995.54096192188,Remote,No,74,2021-04-27
1757,7.0,Software Engineer,React|TensorFlow|REST API|PyTorch|Grafana|Power BI|dbt|Svelte|SASS|Kubernetes,Bachelor,Generic State University 21,Google|Generic Tech Co 41,CFA,A2,124000.83946941163,New York,Yes,97,2020-09-17
1758,4.0,Junior Frontend Developer,Kafka|Azure|Scrum|Pandas|Linux,Master,Generic State University 95,,Azure-AZ305|PCI-DSS|Docker-Certified,A2,73448.09332874097,Vancouver,Yes,90,2023-05-26
1759,12.0,ML Engineer,MongoDB|Express|CSS,Bachelor,Generic State University 99,Generic Tech Co 7|Netflix|Generic Tech Co 65,,A2,117832.01590439622,Qom ,No,90,2020-12-12
1760,,Principal Engineer,Tailwind|NumPy|PySpark|TypeScript,Bachelor,Generic State University 46,Generic Tech Co 63,,C2,62632.75015638816,Singapore,Yes,73,2023-06-01
1761,3.0,Junior Web Developer,Kafka|GCP|Spark|MySQL|PySpark|AWS,High School,Generic State University 49,Generic Tech Co 56|Generic Tech Co 39,,A2,71001.10833594212,Isfahan,No,87,2022-01-08
1762,5.0,Junior Software Engineer,XGBoost|Power BI|Flask|TypeScript,Bachelor,Generic State University 59,Generic Tech Co 51|Generic Tech Co 50|Generic Tech Co 73|Generic Tech Co 87,,A1,73490.66065794438,Paris,Yes,88,2023-09-03
1763,1.0,Software Developer Intern  ,React|R|Ansible|PyTorch,Bachelor,,,CEH,C1,58846.30179018867,Shiraz,Yes,72,2022-11-02
1764,2.0,Tech Lead,Airflow|RabbitMQ|TypeScript|Scikit-learn|LightGBM|YAML,Bachelor,Amirkabir University of Technology,Generic Tech Co 72|Generic Tech Co 57,CEH,B2,61121.27962205101,London,Yes,96,2020-02-11
1765,1.0,Head of Data,PyTorch|Airflow|Next.js|Tableau|Prometheus|dbt|Pandas|NumPy,PhD,Generic State University 21,,,A2,28207.97118365472,Sydney,No,73,2022-09-10
1766,12.0,Senior Backend Developer,C#|Jenkins|Spark|Redis|Scikit-learn,Master,,,GCP-PCA|Azure-AZ104,A2,183822.86646096178,Shiraz,,77,2023-10-17
1767,12.0,DevOps Engineer,TensorFlow|Python|Kafka|Scrum|RabbitMQ|TypeScript|LightGBM|Nginx|HTML,PhD,Online University T,Microsoft|Generic Tech Co 100|Shopify,Terraform-Associate|Azure-AZ900,C1,163648.00988528744,Singapore,,94,2023-03-05
1768,1.0,Solutions Architect (Senior),JavaScript|Python|Next.js|MongoDB|Power BI|TypeScript|Vue|Scikit-learn|LightGBM|PySpark,Master,Online University I,,CFA,C1,45695.642542637615,Tehran,Yes,88,2021-11-09
1769,10.0,Systems Engineer,React|TensorFlow|C#|Airflow|Webpack|Pandas|GitLab-CI|R|SQL,Master,,Generic Tech Co 46|SpaceX|Generic Tech Co 47|Generic Tech Co 16|Generic Tech Co 64|Generic Tech Co 83,,A2,120599.97165828683,Dubai,Yes,77,2023-10-20
1770,3.0,Senior Full Stack Developer,Agile|PyTorch|HTML|Ansible|GitLab-CI|SQL|Kubernetes,High School,Generic State University 95,Generic Tech Co 17,GCP-PCA,B2,71283.01865030862,Tehran,Yes,100,2020-05-01
1771,6.0,Solutions Architect (Senior),TensorFlow|React|JavaScript|Agile|Kafka|Tableau|Airflow|Ansible|CSS|PostgreSQL|SQL,Bachelor,Generic State University 51,Generic Tech Co 85|Generic Tech Co 15|Generic Tech Co 83|Generic Tech Co 38,,A1,110711.11125247099,Hamburg,Yes,88,2021-11-25
1772,8.0,ML Engineer,Redux|Scrum|Express|Power BI|Angular|Java|TypeScript|LightGBM,Master,Online University O,Google|Generic Tech Co 98|Generic Tech Co 37,,Beginner,108900.13333807408,Shiraz,No,86,2023-05-04
1773,12.0,Database Administrator,Python|Tailwind|RabbitMQ|Jenkins|TypeScript|PySpark|Kubernetes,Bachelor,Sorbonne University,Generic Tech Co 84|Cafe Bazaar,AWS-SAP|AWS-DOP|AWS-CSA,A2,155800.18148679115,Manchester,No,100,2023-12-11
1774,3.0,Junior Backend Developer,Redux|Python|C#|PyTorch|FastAPI|Scrum|GCP|SASS|Redis|YAML,High School,Generic State University 77,Generic Tech Co 22|Meta|Generic Tech Co 96|Generic Tech Co 34|Generic Tech Co 44,,C2,96155.33605985323,Qom,,83,2022-12-08
1775,,ML Engineer,PyTorch|Next.js|Node.js|Power BI|Docker|Nginx|Svelte|NumPy,Bachelor,Generic State University 68,Stripe|Generic Tech Co 75,AWS-CSA|Scrum-Master,C2,83093.7278878531,San Francisco,,89,2023-07-07
1776,18.0,ML Engineer,Agile|CICD|C#|Grafana|Kafka|dbt|CSS|MySQL|HTML,PhD,Generic State University 86,,Agile-Certified|Azure-AZ900|Docker-Certified|Scrum-Master,C2,189312.29901595102,Seattle,No,84,2022-03-07
1777,3.0,Head of Data,Agile|Node.js|Express|XGBoost|MySQL|Vue|LightGBM|Testing,Bachelor,,Generic Tech Co 70|Generic Tech Co 55|Snapp,,A1,41822.95633860228,Boston,No,77,2020-04-16
1778,5.0,Senior ML Engineer ,React|Webpack|SASS|Scikit-learn|HTML,Bachelor,Online University Y,Generic Tech Co 27|Generic Tech Co 60|Generic Tech Co 54|Generic Tech Co 69,Terraform-Associate|PCI-DSS,Elementary,89401.87035120216,Qom,,100,2023-10-10
1779,7.0,Junior Full Stack Developer,Express|Jenkins|Angular|SASS|YAML|Testing|PySpark,Bachelor,Generic State University 53,Meta|Generic Tech Co 75|Generic Tech Co 5|Generic Tech Co 96,AWS-DOP|Scrum-Master,,90779.93823562532,Boston,,88,2023-08-06
1780,4.0,Data Analyst,TensorFlow|LightGBM|PyTorch|Tailwind,Bachelor,,Generic Tech Co 8|Generic Tech Co 23|Generic Tech Co 65,,C2,75454.78365075818,Mashhad,Yes,69,2022-04-13
1781,10.0,Senior Software Engineer,CICD|Jenkins|Django|SASS|Communication|Scikit-learn|NumPy|Linux|PySpark|SQL,Master,,Generic Tech Co 57|Virgool|Generic Tech Co 40|Generic Tech Co 72|Generic Tech Co 83|Generic Tech Co 37,Terraform-Associate,Elementary,136503.20468047092,London,No,85,2022-03-27
1782,4.0,Senior Data Scientist,Redux|Tableau|Next.js|Flask|dbt|Java|SQL,Bachelor,,Meta|Generic Tech Co 100|Generic Tech Co 61,GCP-PCA|Kubernetes-CKA|Scrum-Master,A2,77587.34670890031,Tabriz,Yes,83,2022-12-20
1783,1.0,Engineering Manager,Redux|RabbitMQ|Power BI|Angular|Communication|Kubernetes,Bachelor,,Generic Tech Co 14|Generic Tech Co 40|Generic Tech Co 4,Terraform-Associate|HIPAA,C2,29618.12060765623,Boston,Yes,89,2020-04-08
1784,24.0,Junior DevOps Engineer,C#|Tailwind|Tableau|Flask|Angular|TypeScript|Spark|Go|GitLab-CI|AWS,Master,Online University Z,Generic Tech Co 96|Generic Tech Co 42|Generic Tech Co 92|Generic Tech Co 37,,,222128.7820284777,Munich,No,77,2020-09-08
1785,2.0,VP Engineering,Redux|React|Testing|TypeScript,Master,Generic State University 80,Apple|Generic Tech Co 56|Generic Tech Co 95|Generic Tech Co 91,Azure-AZ305|Terraform-Associate|AWS-DOP,C2,78776.48703175175,Manchester,Yes,100,2024-01-19
1786,3.0,ML Engineer,React|JavaScript|Kafka|Svelte|Angular,Bachelor,,Generic Tech Co 46|Generic Tech Co 70|Generic Tech Co 59|Generic Tech Co 39,,C1,48519.64049220375,Seattle,,72,2020-09-20
1787,4.0,JUNIOR DATA ANALYST,Git|Python|PyTorch|Express|SASS|Spark,Master,Generic State University 82,Generic Tech Co 77|Generic Tech Co 100|Generic Tech Co 58|Generic Tech Co 17|Generic Tech Co 16|Generic Tech Co 14,Azure-AZ305|Kubernetes-CKA|CFA,B2,91440.50353901727,Shiraz,No,96,2022-07-18
1788,10.0,Backend Developer,Git|Redux|JavaScript|React|Python|RabbitMQ|Power BI|Webpack|Pandas|Testing|HTML,Master,Generic State University 52,,GCP-ACE|AWS-SAP,A1,131765.41885776538,Vancouver,No,85,2023-05-21
1789,4.0,Senior Backend Developer,Grafana|Express|Power BI|Ansible|GitLab-CI,Bachelor,,Generic Tech Co 28|Generic Tech Co 12|Generic Tech Co 1|Generic Tech Co 19,,Advanced,87497.55471624782,Madrid,Yes,77,2022-12-15
1790,2.0,Junior Frontend Developer,Agile|Tailwind|Pandas|Spring|Vue|LightGBM,PhD,ETH Zurich,Generic Tech Co 61|Generic Tech Co 31|Generic Tech Co 73|Generic Tech Co 85|Generic Tech Co 80|Generic Tech Co 49,,C2,85947.75090082879,Austin,No,90,2023-01-28
1791,5.0,Web Developer,Agile|Azure|PyTorch|Power BI|Communication|Django|GitLab-CI|Problem-Solving|Kubernetes,Master,,Generic Tech Co 30|Generic Tech Co 78|Generic Tech Co 34,,B2,73382.7978607564,Seattle,No,75,2020-08-05
1792,3.0,Junior Data Analyst,Azure|Airflow|Next.js|Node.js|Docker|XGBoost|Pandas|GitLab-CI|NumPy|Kubernetes,Master,Online University F,Generic Tech Co 89,,C1,60698.729933248076,Dubai,No,92,2023-11-23
1793,1.0,Junior Web Developer,Python|Kafka|Angular|GitLab-CI|SQL,Master,Generic State University 37,Generic Tech Co 55|Generic Tech Co 40|Generic Tech Co 43,CISSP,,63924.57042364599,Vancouver,No,85,2021-11-02
1794,8.0,VP Engineering,JavaScript|C#|GraphQL|Webpack|LightGBM|NumPy,Master,,Generic Tech Co 86|Digikala|Cafe Bazaar|Generic Tech Co 28,GCP-ACE|AWS-DOP,B1,98762.22379153098,Berlin,Yes,88,2024-02-07
1795,9.0,Junior ML Engineer,Git|Python|Power BI|Angular,Bachelor,Online University K,,CEH|Azure-AZ305|GCP-ACE,B1,121230.37813387053,Qom,No,86,2021-03-10
1796,1.0,Junior Backend Developer,JSON|FastAPI|Node.js|dbt|XGBoost|Pandas|TypeScript|Vue|GitLab-CI,Master,Online University V,Generic Tech Co 63|Shopify|Stripe|Generic Tech Co 40|Generic Tech Co 21,CEH|Terraform-Associate,A2,59151.21758344833,Amsterdam,Yes,100,2020-09-23
1797,7.0,principal engineer,Python|CICD|PyTorch|Grafana|GraphQL|Scrum|Docker|Spark|GitLab-CI,Master,Generic State University 59,Generic Tech Co 17,GCP-PCA,,111951.53288255463,Sydney,No,94,2021-01-19
1798,3.0,Junior Software Engineer,JSON|Terraform|Pandas|Linux|Kubernetes|AWS,Master,,,Scrum-Master,B2,73019.5411803555,New York,Yes,80,2021-11-19
1799,9.0,Tech Lead  ,Docker|PyTorch|Prometheus|PostgreSQL,Bachelor,Online University O,,GCP-ACE,B2,106176.61652163492,Remote ,Yes,94,2021-01-06
1800,6.0,DevOps Engineer,React|Python|Terraform|Tableau|Power BI|Svelte,Bachelor,,,HIPAA|AWS-CSA,C2,108002.1007238978,Madrid,,72,2022-04-23
1801,0.0,DevOps Engineer,Kafka|Airflow|Webpack|Prometheus|Scikit-learn|YAML|R|PySpark,Master,University of Tehran,Generic Tech Co 99|Generic Tech Co 39|Generic Tech Co 38|Generic Tech Co 82,,,63962.92096173331,Isfahan,No,68,2023-06-13
1802,4.0,Software Engineer,Go|Express|Testing|Vue,PhD,,Generic Tech Co 99|Generic Tech Co 60|Generic Tech Co 56,Agile-Certified|Docker-Certified|AWS-SAP,A1,88138.16124625642,New York,Yes,90,2020-07-04
1803,5.0,Head of Data,Git|Kafka|Grafana|Tableau|Jenkins|Svelte|Django|NumPy|Kubernetes,Master,Online University T,Snapp|Generic Tech Co 75|Generic Tech Co 31|Generic Tech Co 9|Generic Tech Co 27|Generic Tech Co 66,CFA|PCI-DSS|CISSP,B2,93199.622398035,Qom,Yes,100,2021-03-05
1804,12.0,Junior Data Analyst,React|Redux|JSON|Terraform|Kafka|Tailwind|Tableau|Prometheus|Java|TypeScript,High School,Online University U,,AWS-CSA,A2,107402.44697656247,Karaj,No,84,2021-04-28
1805,4.0,Head of Data,Problem-Solving|dbt|Tableau|TypeScript,Bachelor,Generic State University 32,Generic Tech Co 23|Snapp|Generic Tech Co 75|Generic Tech Co 60|Generic Tech Co 55,,Elementary,98269.26986104363,Tehran,Yes,92,2020-04-28
1806,15.0,Head of Data,Redux|Python|JSON|PyTorch|Tailwind|Airflow|Jenkins|Ansible|SASS|Django,Bachelor,Online University I,,CFA|Azure-AZ900,C1,177383.11889455077,Singapore,No,92,2021-09-18
1807,5.0,Web Developer,Tailwind|Svelte|XGBoost|SASS|Redis|TypeScript|LightGBM|Nginx|HTML,Bachelor,Online University U,Generic Tech Co 52|Generic Tech Co 74,,C2,76425.24470065703,New York,No,92,2022-11-07
1808,,Data Scientist,Azure|Next.js|GraphQL|Java|Go|NumPy|Linux,Master,Generic State University 34,Digikala|Generic Tech Co 63|Generic Tech Co 68|Stripe|Generic Tech Co 45|Generic Tech Co 74,,B2,95857.66986713657,Singapore,No,81,2023-05-30
1809,2.0,Junior DevOps Engineer,FastAPI|dbt|Svelte|Redis|PySpark,High School,Generic State University 90,Microsoft|Shopify,CFA|HIPAA|CISSP,B1,44320.6953173584,London,Yes,100,2022-01-16
1810,6.0,Junior Backend Developer,Svelte|Azure|PySpark|Ansible,Bachelor,Generic State University 41,Generic Tech Co 55|Generic Tech Co 48|Generic Tech Co 35,,C2,138155.90796811396,Vancouver,No,89,2023-06-19
1811,8.0,ML Engineer,C#|Node.js|Express|Angular|Vue|LightGBM|HTML,Bachelor,Amirkabir University of Technology,Generic Tech Co 47|Generic Tech Co 50|Generic Tech Co 28|Amazon|Generic Tech Co 9|Generic Tech Co 4,,Beginner,106979.9645593839,Mashhad,Yes,92,2022-07-13
1812,0.0,Software Developer Intern,TensorFlow|Terraform|CICD|Azure|Tailwind|Kafka|CSS|dbt|Nginx|SQL,High School,,Generic Tech Co 51|Generic Tech Co 87|Generic Tech Co 47|Generic Tech Co 45|Generic Tech Co 71,PCI-DSS,C2,51655.46947039657,Boston,Yes,93,2021-03-13
1813,1.0,Senior DevOps Engineer,Node.js|Jenkins|dbt|SASS|TypeScript|Linux|PySpark,Master,Generic State University 87,,Azure-AZ305|Terraform-Associate|CFA|Azure-AZ900,A2,51229.24828262484,Tehran,No,88,2022-11-07
1814,1.0,Data Analyst,TensorFlow|React|JavaScript|XGBoost|Java|Pandas|Spring|Redis|Go|GitLab-CI|LightGBM,PhD,Generic State University 21,,,,36116.10318223674,London,Yes,54,2021-09-03
1815,6.0,Jr. DevOps Engineer,Redux|C#|Tableau|Vue|Scikit-learn,Bachelor,Online University L,Generic Tech Co 63|Generic Tech Co 74|Amazon,,A2,108024.86114524477,Seattle,No,88,2020-03-12
1816,6.0,CTO,Azure|Tableau|Webpack|LightGBM|Kubernetes,Bachelor,Generic State University 75,Generic Tech Co 53,Terraform-Associate|HIPAA|AWS-CSA,Elementary,89262.29606137457,Singapore,Yes,100,2022-02-10
1817,5.0,Web Developer,React|Express|Webpack|MySQL|Spring,Bachelor,,Cafe Bazaar|Generic Tech Co 13,CEH|Terraform-Associate|Azure-AZ900,B2,111763.62490937953,Manchester,No,93,2020-05-10
1818,8.0,Senior Frontend Developer,Flask|XGBoost|SASS|Java|HTML,Bachelor,Online University G,Generic Tech Co 68|Generic Tech Co 28|Generic Tech Co 55|Generic Tech Co 88|Generic Tech Co 48|Generic Tech Co 12,,C2,121769.5414132386,Berlin,,89,2021-11-24
1819,5.0,VP Engineering,Redux|JavaScript|Tableau|Airflow|Next.js|MongoDB|Ansible|dbt|LightGBM|Kubernetes,Bachelor,,Generic Tech Co 37,CEH,C2,72711.77526248705,Tehran,No,85,2024-01-30
1820,8.0,Full Stack Developer,REST API|Next.js|Prometheus|Ansible|Svelte|Spark|LightGBM|AWS,Bachelor,Online University L,Digikala|Snapp|Generic Tech Co 35|Generic Tech Co 96|Generic Tech Co 82,GCP-PCA|Azure-AZ104,Fluent,136310.37415872962,Istanbul,No,100,2020-03-07
1821,4.0,Web Developer,REST API|CICD|Next.js|Power BI|Docker|Prometheus|dbt|Django|Pandas|Spring|LightGBM|Testing,Bachelor,Generic State University 69,Generic Tech Co 71|Generic Tech Co 42|Generic Tech Co 83,,,71161.68831355523,Boston,No,73,2022-07-12
1822,0.0,Junior Full Stack Developer,REST API|FastAPI|PostgreSQL|CSS|Ansible|Django,Bachelor,Online University O,,Kubernetes-CKA|Agile-Certified,B1,41090.69721969253,Berlin ,No,87,2022-12-27
1823,3.0,Senior Full Stack Developer,React|Python|FastAPI|Node.js|MongoDB|PostgreSQL|dbt|Svelte|SASS|Pandas|Problem-Solving,Bachelor,Generic State University 90,,AWS-SAP|Scrum-Master,B1,63117.29237126431,Amsterdam,No,92,2021-02-05
1824,1.0,Senior ML Engineer,Azure|CICD|Prometheus|Scikit-learn|SQL,Bachelor,Generic State University 20,Generic Tech Co 44|Generic Tech Co 28|Generic Tech Co 59|Generic Tech Co 92,CEH,,69457.89452771451,Boston,No,88,2022-01-12
1825,2.0,Senior Backend Developer,TensorFlow|JSON|C#|Next.js|LightGBM|CSS|Svelte|Problem-Solving|NumPy,Master,Generic State University 4,Generic Tech Co 43|Generic Tech Co 30|Generic Tech Co 42|Generic Tech Co 25,,Elementary,66376.23671567344,Manchester,No,88,2021-05-12
1826,18.0,Senior DevOps Engineer,Angular|HTML|GCP|PyTorch,Master,Generic State University 1,Generic Tech Co 2|Generic Tech Co 9|Generic Tech Co 92,,A2,184297.67337024544,TABRIZ,No,86,2021-02-01
1827,,Junior Web Developer,Scrum|Next.js|MongoDB|Power BI|Nginx|PostgreSQL|Svelte|Pandas|NumPy|Testing,Master,Generic State University 60,,,C2,93153.44397756322,Hamburg,Yes,65,2020-01-12
1828,5.0,Junior Data Analyst,Power BI|Ansible|TypeScript|R|Kubernetes,PhD,Generic State University 80,Generic Tech Co 50|Generic Tech Co 85|Generic Tech Co 45|Generic Tech Co 90|Generic Tech Co 83,,B1,79383.39860683763,Remote,Yes,88,2023-09-24
1829,,Principal Engineer,CICD|GraphQL|Docker|XGBoost|Java|Redis|Go|Nginx|HTML,Bachelor,Generic State University 87,Snapp|Generic Tech Co 35,Docker-Certified,C1,73457.77909910833,Mashhad,Yes,86,2024-02-24
1830,5.0,Solutions Architect (Senior),Redux|Python|JavaScript|Terraform|Agile|Azure|SASS|LightGBM|Nginx,High School,Generic State University 9,Generic Tech Co 41|Generic Tech Co 76|Generic Tech Co 50|Generic Tech Co 52|Generic Tech Co 64|Generic Tech Co 53,,,86333.87570607167,Qom,No,75,2020-12-20
1831,3.0,Junior Data Analyst,JavaScript|R|Next.js|Power BI|Testing|Pandas|Redis|Linux,Bachelor,TU Munich,Generic Tech Co 14|Generic Tech Co 59|Generic Tech Co 86|Generic Tech Co 37,PMP|AWS-DOP|Azure-AZ104|Azure-AZ900,C2,60719.24553714006,Austin,No,97,2022-07-13
1832,6.0,Junior Software Engineer,TensorFlow|JavaScript|Docker|GCP|PostgreSQL|CSS|XGBoost|Django|YAML|R|Kubernetes,Master,University of Cambridge,Generic Tech Co 30|Generic Tech Co 92|Virgool|Generic Tech Co 54|Uber|Generic Tech Co 98,GCP-ACE|CISSP|CFA,,83666.11844541099,Austin,No,88,2020-04-01
1833,6.0,Full Stack Developer ,C#|Scrum|Tailwind|Grafana|Docker|Kubernetes|Svelte|Pandas|HTML,Bachelor,Generic State University 97,Generic Tech Co 75|Generic Tech Co 76|Generic Tech Co 95|Generic Tech Co 48|Generic Tech Co 53,,C1,89880.05191548259,Qom,No,87,2020-09-11
1834,3.0,Senior Frontend Developer,Agile|Tailwind|GraphQL|PostgreSQL|Linux|SQL,Doctorate,,Generic Tech Co 55|Generic Tech Co 83,,B2,79658.132245597,Tokyo,No,74,2022-06-01
1835,9.0,Senior Full Stack Developer,REST API|Flask|Webpack|Docker|Express|Power BI|Django|Kubernetes,PhD,Generic State University 14,Generic Tech Co 67|Generic Tech Co 32,,B1,145950.54636518977,New York,No,86,2022-12-13
1836,4.0,Systems Engineer,Express|Docker|Angular|SASS|Linux,Bachelor,Generic State University 74,,,C2,76783.1330642101,Hamburg,No,72,2023-10-31
1837,4.0,Director of Engineering,TensorFlow|React|CSS|Svelte|Angular|R,PhD,,Generic Tech Co 66|Generic Tech Co 17|Generic Tech Co 62|Amazon,,A1,83708.95757352479,Vancouver,No,74,2020-06-29
1838,5.0,Senior Software Engineer,Python|Tableau|Docker|SASS|Vue,Bachelor,Tehran Polytechnic,Generic Tech Co 84|Generic Tech Co 81,PCI-DSS|Docker-Certified,B2,90958.60274753562,Remote,,100,2021-05-31
1839,3.0,DevOps Engineer,TensorFlow|PyTorch|Airflow|Power BI|Docker|Webpack|Angular|Problem-Solving|Testing,Bachelor,Generic State University 65,Apple|Generic Tech Co 7|Generic Tech Co 35|Generic Tech Co 89,,B1,86380.94660289735,Shiraz,Yes,87,2020-04-13
1840,11.0,Solutions Architect,GraphQL|Express|Prometheus|CSS|XGBoost|Nginx|R|HTML,Master,Generic State University 70,Generic Tech Co 70|Digikala|Snapp,,,113847.73251016936,Boston,Yes,72,2020-12-09
1841,7.0,Junior Data Analyst,Terraform|C#|PyTorch|MongoDB|Docker|PostgreSQL|Communication|MySQL|Spark|TypeScript|Redis|PySpark,Master,Generic State University 46,,,Advanced,76013.7584996159,Boston,No,70,2022-06-10
1842,9.0,Director of Engineering,Redux|PySpark|RabbitMQ|MySQL,Bachelor,,Generic Tech Co 46|Meta|Generic Tech Co 22|Generic Tech Co 69,CFA|Kubernetes-CKAD|HIPAA|AWS-SAP,C2,102352.29812043357,Boston,No,90,2023-09-23
